,name,url,commits,forks,contributors,stars,issues,len_readme
0,freeCodeCamp,https://github.com//freeCodeCamp/freeCodeCamp,"11,473","13,846",779,"292,257",192,2809
1,bootstrap,https://github.com//twbs/bootstrap,"17,706","60,041","1,004","124,971",372,5079
2,free-programming-books,https://github.com//EbookFoundation/free-programming-books,"4,705","26,953",995,"105,817",15,1667
3,tensorflow,https://github.com//tensorflow/tensorflow,"33,739","63,614","1,484","101,184","1,415",2934
4,react,https://github.com//facebook/react,"9,943","18,248","1,184","97,023",378,3322
5,vue,https://github.com//vuejs/vue,"2,592","14,097",190,"95,794",131,2869
6,awesome,https://github.com//sindresorhus/awesome,734,"11,347",323,"85,848",43,12874
7,You-Dont-Know-JS,https://github.com//getify/You-Dont-Know-JS,"1,472","15,276",162,"82,559",92,2670
8,d3,https://github.com//d3/d3,"4,145","19,319",123,"76,116",2,1531
9,javascript,https://github.com//airbnb/javascript,"1,630","13,644",392,"71,427",100,73371
10,oh-my-zsh,https://github.com//robbyrussell/oh-my-zsh,"4,520","14,714","1,136","71,124",503,7473
11,gitignore,https://github.com//github/gitignore,"2,791","30,982",954,"67,698",188,3344
12,coding-interview-university,https://github.com//jwasham/coding-interview-university,"1,159","17,980",104,"64,395",28,69534
13,react-native,https://github.com//facebook/react-native,"13,658","14,589","1,667","64,354",609,4091
14,electron,https://github.com//electron/electron,"19,015","7,931",760,"60,639","1,034",2607
15,linux,https://github.com//torvalds/linux,"753,972","21,746",âˆž,"59,136",203,822
16,angular.js,https://github.com//angular/angular.js,"8,792","28,936","1,597","58,533",438,5279
17,Font-Awesome,https://github.com//FortAwesome/Font-Awesome,20,"9,678",4,"56,472","4,537",3706
18,animate.css,https://github.com//daneden/animate.css,405,"11,109",83,"51,759",11,6312
19,vscode,https://github.com//Microsoft/vscode,"33,943","6,789",597,"51,034","4,730",1825
20,awesome-python,https://github.com//vinta/awesome-python,"1,247","9,758",291,"50,504",50,56072
21,developer-roadmap,https://github.com//kamranahmedse/developer-roadmap,142,"7,439",15,"50,132",114,1826
22,create-react-app,https://github.com//facebook/create-react-app,"1,519","10,310",482,"49,615",238,7522
23,node,https://github.com//nodejs/node,"22,527","10,407","2,013","49,385",600,18795
24,jquery,https://github.com//jquery/jquery,"6,327","15,734",271,"49,067",74,11103
25,moby,https://github.com//moby/moby,"35,193","14,351","1,764","49,064","3,072",3164
26,atom,https://github.com//atom/atom,"34,899","9,316",409,"45,088",708,2781
27,swift,https://github.com//apple/swift,"70,496","6,934",587,"43,979",339,9826
28,laravel,https://github.com//laravel/laravel,"5,663","13,423",446,"43,295",1,2010
29,axios,https://github.com//axios/axios,796,"3,045",136,"42,348",228,17119
30,go,https://github.com//golang/go,"36,695","5,744","1,075","42,129","3,452",1391
31,three.js,https://github.com//mrdoob/three.js,"23,593","15,807",950,"42,123",607,1553
32,socket.io,https://github.com//socketio/socket.io,"1,704","7,811",150,"41,784",259,5298
33,redux,https://github.com//reduxjs/redux,"2,622","10,048",592,"41,403",22,16102
34,Semantic-UI,https://github.com//Semantic-Org/Semantic-UI,"6,571","4,467",188,"41,403",567,4201
35,webpack,https://github.com//webpack/webpack,"6,611","5,169",452,"41,240",433,11527
36,reveal.js,https://github.com//hakimel/reveal.js,"2,102","11,968",214,"40,724",274,45709
37,html5-boilerplate,https://github.com//h5bp/html5-boilerplate,"1,637","9,684",227,"40,611",7,2579
38,meteor,https://github.com//meteor/meteor,"21,172","4,997",389,"39,847",85,1324
39,rails,https://github.com//rails/rails,"69,086","16,083","3,578","39,757",382,3750
40,express,https://github.com//expressjs/express,"5,482","6,795",,"38,524",117,2384
41,youtube-dl,https://github.com//rg3/youtube-dl,"16,223","6,795",621,"37,316","1,949",81444
42,public-apis,https://github.com//toddmotto/public-apis,"1,817","3,618",381,"37,216",3,41693
43,material-ui,https://github.com//mui-org/material-ui,"7,549","6,706",777,"37,128",161,2738
44,moment,https://github.com//moment/moment,"3,664","5,533",474,"37,124",217,1906
45,Chart.js,https://github.com//chartjs/Chart.js,"2,528","8,784",258,"36,974",496,1819
46,kubernetes,https://github.com//kubernetes/kubernetes,"66,064","12,973","1,686","36,954","2,270",1687
47,angular,https://github.com//angular/angular,"10,422","8,884",639,"36,677","2,019",459
48,resume.github.com,https://github.com//resume/resume.github.com,263,961,48,"36,411",27,540
49,flask,https://github.com//pallets/flask,"3,347","10,857",471,"36,169",20,1540
50,node-v0.x-archive,https://github.com//nodejs/node-v0.x-archive,2,"7,936",,"35,880",535,461
51,models,https://github.com//tensorflow/models,"2,325","20,669",370,"35,833",717,1130
52,thefuck,https://github.com//nvbn/thefuck,"1,474","1,791",107,"35,602",145,17776
53,httpie,https://github.com//jakubroztocil/httpie,967,"2,411",70,"35,512",111,36407
54,Front-end-Developer-Interview-Questions,https://github.com//h5bp/Front-end-Developer-Interview-Questions,725,"7,234",180,"35,200",21,1181
55,the-art-of-command-line,https://github.com//jlevy/the-art-of-command-line,"1,159","3,502",145,"35,174",66,33926
56,lantern,https://github.com//getlantern/lantern,"6,088","8,192",54,"35,128","2,324",7850
57,material-design-icons,https://github.com//google/material-design-icons,124,"6,926",18,"34,899",423,1506
58,TypeScript,https://github.com//Microsoft/TypeScript,"23,523","5,017",298,"34,534","2,585",2669
59,jekyll,https://github.com//jekyll/jekyll,"9,883","7,582",776,"34,409",71,1953
60,ionic,https://github.com//ionic-team/ionic,"8,075","11,113",238,"34,353",982,1263
61,django,https://github.com//django/django,"25,745","14,474","1,593","34,216",176,1873
62,java-design-patterns,https://github.com//iluwatar/java-design-patterns,"2,060","10,992",126,"33,969",166,1496
63,nw.js,https://github.com//nwjs/nw.js,"3,218","3,750",97,"33,789",667,3282
64,every-programmer-should-know,https://github.com//mtdvio/every-programmer-should-know,200,"2,896",54,"33,667",9,5582
65,impress.js,https://github.com//impress/impress.js,357,"6,772",60,"33,601",39,5786
66,awesome-vue,https://github.com//vuejs/awesome-vue,"2,125","4,558","1,130","33,316",40,120244
67,RxJava,https://github.com//ReactiveX/RxJava,"5,367","5,812",202,"33,301",23,25587
68,free-programming-books-zh_CN,https://github.com//justjavac/free-programming-books-zh_CN,851,"11,936",93,"33,248",87,9234
69,x64dbg,https://github.com//x64dbg/x64dbg,"3,936",726,59,"33,228",319,2705
70,awesome-machine-learning,https://github.com//josephmisiti/awesome-machine-learning,"1,054","8,071",315,"33,065",3,82669
71,materialize,https://github.com//Dogfalo/materialize,"3,802","4,525",251,"32,810",271,2165
72,puppeteer,https://github.com//GoogleChrome/puppeteer,951,"2,519",141,"32,668",267,10078
73,requests,https://github.com//requests/requests,"5,451","6,043",505,"32,645",102,2264
74,computer-science,https://github.com//ossu/computer-science,698,"4,537",77,"32,541",12,20655
75,json-server,https://github.com//typicode/json-server,667,"2,669",56,"32,078",283,11851
76,lodash,https://github.com//lodash/lodash,"7,906","3,346",266,"32,030",1,1577
77,bitcoin,https://github.com//bitcoin/bitcoin,"17,249","19,223",547,"31,925",533,2800
78,yarn,https://github.com//yarnpkg/yarn,"2,051","1,783",421,"31,808","1,149",1912
79,hacker-scripts,https://github.com//NARKOZ/hacker-scripts,135,"5,599",40,"31,404",26,2905
80,elasticsearch,https://github.com//elastic/elasticsearch,"39,226","10,808","1,028","31,328","1,271",7899
81,awesome-go,https://github.com//avelino/awesome-go,"2,672","4,025",822,"31,203",11,109301
82,normalize.css,https://github.com//necolas/normalize.css,357,"6,341",36,"31,171",10,2139
83,AFNetworking,https://github.com//AFNetworking/AFNetworking,"2,817","9,617",275,"31,127",218,11408
84,react-router,https://github.com//ReactTraining/react-router,"4,154","6,535",515,"30,511",29,824
85,ansible,https://github.com//ansible/ansible,"37,739","11,448","3,520","30,483","3,587",4006
86,awesome-android-ui,https://github.com//wasabeef/awesome-android-ui,386,"8,153",40,"30,331",7,10282
87,material-design-lite,https://github.com//google/material-design-lite,"2,872","5,208",173,"30,154",324,2651
88,papers-we-love,https://github.com//papers-we-love/papers-we-love,738,"2,843",189,"30,066",9,3152
89,keras,https://github.com//keras-team/keras,"4,562","11,205",681,"29,936","1,482",6643
90,netdata,https://github.com//firehol/netdata,"6,848","2,498",164,"29,703",422,9055
91,gulp,https://github.com//gulpjs/gulp,"1,077","4,283",210,"29,568",23,7062
92,redis,https://github.com//antirez/redis,"6,842","11,356",249,"29,285","1,132",19539
93,markdown-here,https://github.com//adam-p/markdown-here,793,"4,887",11,"29,213",190,10826
94,brackets,https://github.com//adobe/brackets,"17,689","6,287",355,"28,991","2,128",4605
95,ant-design,https://github.com//ant-design/ant-design,"11,398","8,771",514,"28,925",223,1608
96,jQuery-File-Upload,https://github.com//blueimp/jQuery-File-Upload,"1,051","7,754",78,"28,771",0,5326
97,rust,https://github.com//rust-lang/rust,"78,721","4,952","2,091","28,496","3,686",6452
98,legacy-homebrew,https://github.com//Homebrew/legacy-homebrew,"63,881","13,031","5,548","28,487",0,349
99,scikit-learn,https://github.com//scikit-learn/scikit-learn,"22,777","14,119","1,092","28,426",984,3693
